split,id,label,num_lines,num_nonempty_lines,num_chars,num_tokens,num_unique_tokens,avg_line_length,max_line_length,num_dangerous_api,num_branch_loop,num_pointer_array,num_error_handling,symbol_density,num_risk_lines,max_risk_score,avg_risk_score
train,0,0,146,66,2221,183,86,31.455,86,0,11,38,6,0.10536,5,2.9,2.26
train,1,0,1764,810,36873,2950,565,43.346,171,3,226,895,46,0.11925,5,5.6,4.5
train,2,0,34,14,545,42,27,36.571,73,0,5,12,0,0.12844,5,3.3,2.62
train,4,0,40,18,853,71,37,45.222,105,1,2,3,7,0.09965,5,3.7,1.96
train,5,1,58,25,981,89,40,36.96,71,0,4,32,3,0.14373,5,2.9,2.7
train,6,1,282,119,5333,455,144,42.454,89,0,20,158,10,0.1352,5,3.3,3.14
train,7,1,70,30,1243,115,45,39.133,83,0,3,13,0,0.12148,5,3.3,1.86
train,9,1,56,23,903,93,57,36.87,77,0,0,21,2,0.14286,5,3.1,2.22
train,11,1,16,8,234,23,19,27.375,69,0,1,3,2,0.15812,5,2.7,1.74
train,13,1,102,44,1851,183,60,39.773,70,0,13,45,4,0.16694,5,3.3,3.22
train,14,1,34,13,349,32,18,24.308,67,0,2,4,3,0.13754,5,1.8,1.48
train,16,1,888,406,11903,1031,281,27.133,78,0,106,267,16,0.13904,5,4.1,3.7
train,17,1,112,54,2235,177,60,39.333,80,0,19,71,1,0.13289,5,2.9,2.82
train,18,1,72,32,1186,88,40,34.844,76,0,7,8,7,0.10708,5,2.9,2.36
train,19,0,16,8,288,24,14,34.125,74,0,0,9,1,0.10764,5,2.3,1.66
train,20,1,186,84,3112,231,91,34.845,79,0,11,11,20,0.08837,5,2.3,2.3
train,21,1,34,14,598,57,28,40.357,85,0,2,30,1,0.1505,5,3.3,2.42
train,23,1,90,38,1401,137,42,34.526,78,0,6,49,3,0.15632,5,3.3,2.98
train,24,1,72,31,1041,89,42,31.29,66,0,4,21,7,0.1316,5,2.3,2.3
train,25,1,168,61,2706,236,76,41.623,77,0,10,80,12,0.13452,5,3.3,3.3
train,26,1,88,39,1699,163,33,41.333,63,0,3,93,3,0.17952,5,3.3,2.5
train,27,0,58,28,1087,108,54,36.786,83,0,15,17,3,0.16283,5,3.3,2.98
train,28,0,46,20,523,58,19,23.9,53,1,4,16,4,0.15105,5,6.0,3.08
train,29,0,30,13,450,28,21,32.385,74,0,3,5,1,0.08444,5,1.5,1.5
train,30,0,172,75,3374,337,103,42.707,122,0,26,188,7,0.15145,5,3.7,3.54
train,31,0,22,8,220,21,15,24.875,58,0,0,8,2,0.11818,5,3.1,1.9
train,32,1,294,136,5264,457,107,36.551,128,0,28,129,1,0.13811,5,3.3,2.98
train,33,1,40,17,525,58,45,28.588,70,0,2,9,1,0.10857,5,2.9,2.08
train,34,1,58,26,865,105,70,31.077,79,0,6,17,0,0.12254,5,2.5,2.22
train,36,1,38,14,629,40,21,42.286,66,0,5,13,0,0.09062,5,2.5,2.5
train,37,1,198,93,3440,269,101,34.871,90,0,25,48,7,0.10785,5,2.9,2.66
train,38,1,84,35,1420,127,57,38.2,76,0,3,27,0,0.13169,5,3.3,2.58
train,39,1,210,96,2817,218,52,27.167,78,0,18,55,6,0.11786,5,3.3,3.14
train,40,0,122,45,1837,173,75,38.133,101,2,7,32,7,0.11159,5,5.6,3.9
train,41,1,16,8,203,16,12,23.5,55,0,2,2,0,0.1133,5,1.5,1.1
train,42,1,40,16,477,50,29,27.375,52,0,2,10,3,0.14675,5,3.3,2.08
train,44,0,34,17,382,41,23,20.529,42,0,4,16,0,0.17277,5,3.3,2.62
train,45,0,14,6,220,18,12,34.5,68,0,0,2,0,0.10909,3,1.5,1.033
train,46,0,148,67,2626,340,110,37,70,0,8,56,12,0.09025,5,2.9,2.54
train,47,0,28,12,547,35,24,43.333,75,0,0,4,2,0.14625,5,2.3,1.52
train,48,0,10,5,118,13,10,21.8,61,0,0,5,0,0.16102,5,2.3,1.46
train,49,0,52,26,772,77,35,27.731,95,0,4,9,5,0.13601,5,3.7,2.52
train,50,0,14,7,194,18,15,25.857,67,0,0,5,1,0.09794,5,1.9,1.44
train,52,0,44,19,568,44,27,27.632,78,0,3,12,2,0.11092,5,2.9,2.2
train,53,0,194,86,3603,245,53,39.651,90,0,15,53,12,0.10325,5,3.7,2.9
train,54,0,24,9,232,23,15,23.222,57,0,1,7,0,0.15086,5,3.3,2.18
train,55,0,40,20,448,40,26,20.45,62,0,7,2,13,0.07143,5,1.9,1.58
train,56,0,108,48,1710,130,48,33.396,78,0,7,43,9,0.11345,5,3.3,2.54
train,57,0,6,3,46,4,4,13.667,39,0,0,1,0,0.1087,3,1.5,1.033
train,58,0,48,22,586,53,35,24.5,80,0,5,6,1,0.09898,5,2.3,1.72
train,59,0,18,9,260,22,16,27,73,0,1,6,0,0.12308,5,1.9,1.34
train,61,0,100,40,1390,116,55,32.275,88,0,5,24,3,0.11511,5,2.3,1.86
train,63,0,36,15,608,45,22,38.2,74,0,1,15,2,0.10526,5,2.3,1.66
train,64,0,288,127,5472,419,133,40.827,84,0,21,47,24,0.10051,5,3.3,2.82
train,65,0,64,29,931,61,31,29.931,72,0,4,16,1,0.10419,5,2.5,2.34
train,66,0,74,28,936,81,42,30.821,68,0,5,18,8,0.11966,5,2.9,2.5
train,67,0,52,26,1293,147,88,47.769,79,0,4,10,3,0.0611,5,1.5,1.5
train,68,0,30,15,348,28,17,21.267,63,0,3,1,4,0.07759,5,1.5,1.22
train,69,0,98,46,1487,145,51,30.217,73,0,9,32,5,0.1466,5,2.9,2.76
train,72,0,206,88,4372,355,85,47.352,113,0,15,238,1,0.15005,5,3.7,3.62
train,73,0,28,11,438,34,22,37.364,78,0,0,5,0,0.09361,5,1.9,1.44
train,74,0,44,16,646,52,31,37.688,63,0,2,10,1,0.10217,5,2.5,1.9
train,76,0,18,8,206,20,13,23.625,39,0,0,10,0,0.16019,5,1.9,1.82
train,77,1,60,26,1013,82,41,36.692,68,0,3,17,4,0.10168,5,1.9,1.78
train,78,1,18,7,182,15,10,23.571,51,0,0,3,1,0.11538,5,1.5,1.22
train,79,1,68,27,922,75,40,31.667,74,0,2,12,5,0.10954,5,3.3,2.26
train,80,1,20,10,353,25,18,33.4,74,0,1,1,0,0.09065,5,1.5,0.98
train,81,1,48,21,681,60,39,30.19,75,0,2,8,1,0.12335,5,1.9,1.82
train,82,1,64,28,945,106,51,31.5,76,0,6,13,1,0.13968,5,2.5,2.3
train,85,1,30,14,595,38,26,40.429,68,0,0,8,1,0.08235,5,1.5,1.44
train,86,1,42,19,533,46,29,25.895,73,0,3,8,2,0.12008,5,2.9,2.06
train,87,1,26,12,531,67,28,42.167,142,0,1,33,0,0.20151,5,2.3,2.3
train,89,1,224,84,3489,278,116,38.881,79,0,17,66,4,0.09516,5,3.3,2.66
train,90,1,20,10,402,36,25,38.3,93,0,1,12,1,0.12687,5,2.5,1.72
train,91,1,20,10,187,18,9,16.8,58,0,2,0,0,0.19251,5,1.8,1.12
train,92,1,90,44,1245,136,40,26.273,68,0,10,29,1,0.12932,5,2.3,2.3
train,93,1,60,60,2899,230,87,47.333,78,0,17,56,11,0.11866,5,3.3,3.14
train,94,0,102,48,1440,139,56,27.812,77,0,11,37,1,0.15,5,3.3,2.86
train,95,0,370,175,5885,480,124,31.52,97,1,56,95,7,0.1215,5,5.2,3.6
train,96,0,30,12,295,28,19,22.167,44,0,1,7,1,0.1322,5,2.9,1.94
train,97,0,38,17,724,77,58,40.412,76,0,3,13,1,0.08702,5,2.5,1.94
train,98,0,182,86,3884,319,95,43.058,119,0,11,50,0,0.17122,5,2.3,2.3
train,99,0,56,26,781,50,31,27.923,70,0,2,4,3,0.08963,5,1.8,1.44
train,100,0,50,25,780,64,30,29.24,80,0,7,1,0,0.08077,5,1.9,1.18
train,101,0,20,10,449,38,22,43,80,0,0,8,0,0.12027,5,1.9,1.74
train,102,0,58,26,1144,92,38,41.808,77,1,2,45,1,0.13462,5,5.6,3.0
train,103,0,26,11,550,31,17,47.727,76,0,0,6,1,0.05636,5,1.5,1.22
train,104,0,32,14,402,52,31,26.5,63,0,1,14,1,0.18159,5,2.9,2.1
train,105,0,30,14,551,43,31,37.286,69,0,0,13,0,0.10163,5,1.9,1.58
train,106,0,96,40,1603,123,59,37.7,77,0,3,36,3,0.10356,5,2.3,2.06
train,107,0,94,47,1151,91,32,22.511,81,0,16,33,0,0.17116,5,3.3,3.3
train,109,0,40,20,1048,92,52,50.45,79,0,0,11,0,0.1374,5,2.3,1.66
train,110,0,46,21,836,70,34,37.667,76,0,3,20,2,0.13038,5,2.9,2.5
train,111,0,10,5,185,20,16,35.2,79,0,0,1,0,0.10811,5,1.5,0.86
train,112,0,86,39,1544,89,36,37.41,72,0,13,18,1,0.09262,5,3.3,3.06
train,113,0,20,9,371,30,19,39.111,73,0,0,8,0,0.11051,5,1.9,1.58
train,114,0,82,34,1267,105,55,34.882,75,0,4,22,5,0.10655,5,3.3,2.82
train,115,0,114,51,1835,195,81,33.765,80,2,7,102,5,0.18474,5,6.0,4.3
train,116,0,8,4,60,7,6,13.25,33,0,0,1,0,0.13333,3,2.3,1.3
train,117,0,128,55,2780,233,88,48.236,109,0,8,86,1,0.12158,5,3.3,3.06
train,118,0,50,23,952,74,54,39.261,104,0,5,5,5,0.10189,5,2.5,1.74
train,119,1,70,29,1306,143,23,42.655,79,0,2,93,0,0.2121,5,2.3,2.3
train,120,1,442,180,8366,606,192,44.028,81,0,27,131,14,0.09945,5,2.9,2.78
train,123,1,228,101,4068,373,151,38.03,92,1,23,77,15,0.10423,5,5.2,3.76
train,124,1,50,20,668,75,25,30.55,70,0,0,13,0,0.18713,5,2.3,2.3
train,126,0,78,31,1016,92,47,30.29,70,0,4,28,9,0.12402,5,3.3,2.58
train,128,0,130,63,2704,257,83,40.873,88,0,13,55,6,0.13388,5,2.9,2.74
train,129,0,472,215,12298,901,197,55.009,131,0,57,351,2,0.12319,5,3.3,3.3
train,130,0,128,62,1794,258,36,26.887,71,0,7,39,0,0.18618,5,2.3,2.3
train,131,1,34,15,452,49,36,27.933,75,0,0,13,0,0.12389,5,2.3,1.9
train,132,1,214,95,3968,385,132,39.526,91,0,22,36,16,0.11114,5,2.5,2.1
train,133,1,32,15,503,44,31,31.467,61,0,0,14,0,0.11928,5,1.9,1.82
train,134,1,412,164,5291,483,70,29.756,126,1,34,154,4,0.19089,5,4.1,2.66
train,135,1,42,18,426,38,18,21.389,56,0,3,3,2,0.1338,5,2.3,1.86
train,136,1,182,86,2726,212,71,29.593,73,2,27,47,6,0.12986,5,5.6,3.84
train,138,1,192,91,4124,328,77,43.22,79,0,47,62,1,0.12827,5,3.3,3.14
train,139,1,50,21,662,68,27,29.19,76,0,3,10,2,0.10725,5,2.3,1.74
train,140,1,10,5,195,14,12,37.2,70,0,0,1,1,0.06154,4,1.5,0.975
train,141,1,44,21,542,54,21,23.762,41,9,5,25,0,0.17159,5,6.0,5.76
train,142,1,86,36,1381,127,55,36,76,0,6,30,1,0.1441,5,2.9,2.38
train,144,1,56,24,709,77,24,27.25,69,1,4,31,2,0.16784,5,4.9,3.34
train,145,1,114,49,1699,129,62,32.367,74,0,11,11,7,0.10948,5,2.3,1.78
